IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-15 12:00:00, TS,  6.90, 163.10,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-15 18:00:00, TS,  7.60, 161.20,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-16 00:00:00, TS,  8.20, 159.60,  0.0, 1002.0,tokyo,-100.000,  15.708,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-16 06:00:00, TS,  8.60, 158.20,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-16 12:00:00, TS,  9.40, 156.70,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-16 18:00:00, TS, 10.20, 154.30,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-17 00:00:00, TS, 11.10, 152.70,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-17 06:00:00, TS, 11.60, 150.90,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-17 12:00:00, TS, 12.50, 149.30,  0.0, 1002.0,tokyo,-100.000,  15.708,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-17 18:00:00, TS, 12.90, 148.60,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-18 00:00:00, TS, 13.20, 147.80,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-18 06:00:00, TS, 13.60, 146.70,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-18 12:00:00, TS, 14.10, 146.50, 35.0, 1000.0,tokyo,   0.000,  20.921,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-18 18:00:00, TS, 14.50, 146.80, 35.0, 1000.0,tokyo,   0.000,  20.921,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-19 00:00:00, TS, 14.60, 147.40, 35.0, 1000.0,tokyo,   0.000,  20.921,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-19 06:00:00, TS, 14.90, 147.90, 35.0, 1000.0,tokyo,   0.000,  20.921,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-19 12:00:00, TS, 15.20, 148.80, 35.0, 1000.0,tokyo,   0.000,  20.921,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-19 18:00:00, TS, 15.60, 150.00, 35.0, 1000.0,tokyo,   0.000,  20.921,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-20 00:00:00, TS, 16.20, 151.30, 35.0, 1000.0,tokyo,   0.000,  20.921,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-20 06:00:00, TS, 16.80, 152.40, 35.0, 1000.0,tokyo,   0.000,  20.921,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-20 12:00:00, TS, 17.20, 153.70, 35.0, 1000.0,tokyo,   0.000,  20.921,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-20 18:00:00, TS, 17.40, 154.90,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-21 00:00:00, TS, 17.90, 156.10,  0.0, 1004.0,tokyo,-100.000,   8.340,main
2003011N02180,2003,01, WP, MM,YANYAN,2003-01-21 06:00:00, ET, 18.70, 156.30,  0.0, 1004.0,tokyo,-100.000,   8.340,main
