IBTrACS WMO: International Best Tracks Archive for Climate Stewardship -- WMO DATA ONLY -- Version: v03r09
Serial_Num,Season,Num,Basin,Sub_basin,Name,ISO_time,Nature,Latitude,Longitude,Wind(WMO),Pres(WMO),Center,Wind(WMO) Percentile,Pres(WMO) Percentile,Track_type
N/A,Year,#,BB,BB,N/A,YYYY-MM-DD HH:MM:SS,N/A,deg_north,deg_east,kt,mb,N/A,%,%,N/A
2008033S11083,2008,11, SI, MM,HONDO,2008-02-02 12:00:00, TS,-11.10,  83.50, 20.0, 1003.0,reunion,   1.350,  14.432,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-02 18:00:00, TS,-11.20,  83.20, 20.0, 1003.0,reunion,   1.350,  14.432,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-03 00:00:00, TS,-11.40,  82.70, 20.0, 1003.0,reunion,   1.350,  14.432,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-03 06:00:00, TS,-11.80,  82.00, 25.0, 1002.0,reunion,  16.100,  17.753,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-03 12:00:00, TS,-12.00,  81.40, 25.0, 1002.0,reunion,  16.100,  17.753,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-03 18:00:00, TS,-12.10,  80.80, 25.0, 1001.0,reunion,  16.100,  22.515,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-04 00:00:00, TS,-12.20,  80.30, 27.0, 1000.0,reunion,  27.208,  24.168,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-04 06:00:00, TS,-12.30,  80.30, 27.0, 1000.0,reunion,  27.208,  24.168,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-04 12:00:00, TS,-12.50,  80.50, 30.0,  998.0,reunion,  34.267,  35.914,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-04 18:00:00, TS,-13.10,  80.40, 37.0,  994.0,reunion,  56.142,  51.111,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-05 00:00:00, TS,-13.40,  80.50, 43.0,  990.0,reunion,  63.433,  61.213,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-05 06:00:00, TS,-13.50,  80.60, 55.0,  982.0,reunion,  78.500,  74.872,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-05 12:00:00, TS,-13.60,  80.90, 65.0,  975.0,reunion,  85.908,  81.278,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-05 18:00:00, TS,-13.80,  81.00, 65.0,  975.0,reunion,  85.908,  81.278,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-06 00:00:00, TS,-14.00,  81.20, 65.0,  975.0,reunion,  85.908,  81.278,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-06 06:00:00, TS,-14.10,  81.30, 70.0,  968.0,reunion,  87.725,  86.048,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-06 12:00:00, TS,-14.20,  81.70, 75.0,  960.0,reunion,  90.933,  89.369,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-06 18:00:00, TS,-14.30,  82.00, 95.0,  940.0,reunion,  97.317,  96.060,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-07 00:00:00, TS,-14.50,  82.30, 95.0,  938.0,reunion,  97.317,  96.679,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-07 06:00:00, TS,-14.70,  82.50,100.0,  930.0,reunion,  98.133,  97.395,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-07 12:00:00, TS,-14.90,  82.70,115.0,  915.0,reunion,  99.608,  99.422,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-07 18:00:00, TS,-15.00,  82.90,115.0,  915.0,reunion,  99.608,  99.422,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-08 00:00:00, TS,-15.10,  83.10,115.0,  915.0,reunion,  99.608,  99.422,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-08 06:00:00, TS,-15.00,  83.60,110.0,  920.0,reunion,  99.267,  99.210,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-08 12:00:00, TS,-15.40,  84.10,100.0,  930.0,reunion,  98.133,  97.395,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-08 18:00:00, TS,-15.70,  84.40,110.0,  920.0,reunion,  99.267,  99.210,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-09 00:00:00, TS,-16.10,  84.90,110.0,  920.0,reunion,  99.267,  99.210,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-09 06:00:00, TS,-16.70,  85.40,110.0,  920.0,reunion,  99.267,  99.210,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-09 12:00:00, TS,-17.40,  85.80,105.0,  925.0,reunion,  98.900,  98.616,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-09 18:00:00, TS,-18.30,  86.10, 95.0,  935.0,reunion,  97.317,  96.785,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-10 00:00:00, TS,-19.40,  86.40, 90.0,  940.0,reunion,  95.742,  96.060,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-10 06:00:00, TS,-20.00,  86.60, 85.0,  947.0,reunion,  94.442,  94.571,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-10 12:00:00, TS,-20.90,  86.70, 80.0,  955.0,reunion,  92.208,  90.492,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-10 18:00:00, TS,-21.50,  86.50, 65.0,  970.0,reunion,  85.908,  84.217,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-11 00:00:00, TS,-22.40,  86.30, 50.0,  980.0,reunion,  71.975,  75.417,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-11 06:00:00, TS,-23.10,  86.00, 40.0,  990.0,reunion,  58.208,  61.213,main
2008033S11083,2008,11, SI, MM,HONDO,2008-02-11 12:00:00, TS,-23.70,  85.80, 35.0,  994.0,reunion,  43.067,  51.111,main
